Z =0.64796275
norm_productive =0.1972726650924565
min_energy_clip =-5
max_energy_clip =10
likelihood_train,likelihood_test
0.9780159759521484,0.9747421360015869
0.9880041790008545,0.9742562484741211
0.9916234016418457,0.986176414489746
0.9974200630187988,0.9885063743591308
1.010449161529541,1.00846999168396
1.0277831840515137,1.0270131969451903
1.0461499214172363,1.0447925090789794
1.0719329452514648,1.0808793354034423
1.0989179420471191,1.0936307716369629
1.1129343509674072,1.0534533405303954
1.1233216667175292,1.0834340858459472
1.1349980735778809,1.1242339611053467
1.1539663124084472,1.0798027610778809
1.169283571243286,1.1297121906280516
1.1850922966003417,1.164298095703125
1.2124433612823486,1.1568321990966797
1.230131607055664,1.1633843421936034
1.2491333198547363,1.186984176635742
1.2641187572479247,1.2018661022186279
1.2766783618927002,1.1903469371795654
1.2881529808044434,1.2203216743469238
1.299792308807373,1.2362409496307372
1.311558322906494,1.1518585681915283
1.322435302734375,1.2595204639434814
1.335321750640869,1.2660200786590576
1.345529680252075,1.2779520893096923
1.3526489067077636,1.2655817413330077
1.3619508934020996,1.264573745727539
1.3709921264648437,1.3072794055938721
1.3775028991699219,1.2777062702178954
1.3860573863983154,1.2931613731384277
1.39181001663208,1.2486346435546876
1.4006714344024658,1.2833816528320312
1.4058769798278807,1.3183781719207763
1.4117033386230469,1.3290808296203613
1.4182585716247558,1.3430610179901123
1.421861400604248,1.3561386108398437
1.4283849620819091,1.296620864868164
1.4301491260528565,1.336654529571533
1.4378049659729004,1.34404146194458
1.444218063354492,1.3363330078125
1.4472417068481445,1.3637285327911377
1.4547817611694336,1.3463800048828125
1.4598907470703124,1.3203006935119628
1.4607626152038573,1.2962530803680419
1.4669424247741698,1.3668077087402344
1.469868049621582,1.340183973312378
1.4771422004699706,1.2351209449768066
1.4786838912963867,1.3500118446350098
1.4819447708129883,1.3636475086212159
1.4896956253051756,1.316661558151245
1.4909884071350097,1.3626713562011719
1.4962039947509764,1.3337174034118653
1.4984750747680664,1.3721584796905517
1.5022756576538085,1.3870865821838378
1.5024050903320312,1.3624346351623535
1.5080860519409178,1.3729761028289795
1.509572467803955,1.3510942554473877
1.5137012672424315,1.3527745628356933
1.516204605102539,1.3575531005859374
1.5222784996032714,1.3827545356750488
1.5217096138000488,1.3852025127410887
1.5271488761901855,1.3692592906951904
1.5281388473510742,1.3758008766174317
1.5332979583740234,1.3935892009735107
1.5324508094787597,1.391907091140747
1.536895637512207,1.3679211902618407
1.5403431129455565,1.3606825733184813
1.5464508247375488,1.358643922805786
1.5441081619262695,1.3675329780578613
1.5448420143127441,1.3717703533172607
1.5507013320922851,1.391868724822998
1.5525017166137696,1.3283694648742674
1.550409336090088,1.4012965393066406
1.558201560974121,1.3938448905944825
1.5598107147216795,1.35345365524292
1.5583986282348632,1.3537967205047607
1.561281337738037,1.3964568042755126
1.563346939086914,1.3823816871643066
1.5648278617858886,1.3781965827941893
1.571220359802246,1.3774011039733887
1.5697646713256834,1.3667982673645018
1.57167423248291,1.3418448829650877
1.575160846710205,1.3654749298095703
1.5740647888183592,1.3606281566619873
1.574263572692871,1.3783054161071777
1.5805154800415038,1.3781055164337157
1.5806986427307128,1.3499974250793456
1.5840345382690428,1.377328062057495
1.582711887359619,1.3956905937194823
1.5858194732666016,1.4017494678497313
1.586535301208496,1.3904715728759764
1.5877685165405273,1.366983232498169
1.5913479995727537,1.3765067481994628
1.5929197311401366,1.3599386787414551
1.5915054130554198,1.3935818195343017
1.592952003479004,1.4038298320770264
1.5957447624206542,1.3801988410949706
1.599396686553955,1.3634083843231202
1.6010914993286132,1.3858634948730468
